p1,p2,p3,p4
0.011027,0.0019643,0.80207,0.0048372
0.013394,0.0010939,0.79766,0.70144
0.012972,0.0033009,0.19725,1.3677
0.0055331,0.00028136,0.79499,2.4387
0.015858,0.0046733,0.58805,1.4898
0.0075697,0.00039686,0.74666,2.4321
0.0073902,0.0015166,0.28808,1.4707
0.013821,0.0017738,1.0932,5.4106
0.018899,0.00034176,0.56987,3.0742
0.0094511,0.00082297,1.0717,0.0047107
0.014742,0.0018104,0.32654,2.5763
0.012983,0.0036837,0.067739,18.604
0.0082716,0.0014405,0.53035,8.3725
0.0077687,0.0032959,0.54147,3.4302
0.015438,0.0051051,0.37233,0.97934
0.0061472,0.00072997,0.42758,6.1117
0.0020421,8.85E-05,2.6645,6.1864
0.024629,0.00068565,1.1556,14.055
0.016892,0.0034499,1.2819,3.6305
0.011058,0.0016876,1.3302,1.8481
0.012688,0.00066556,0.12425,2.1796
0.011868,0.0011125,0.96921,5.1408
0.013597,0.0038387,0.26468,3.4421
0.0063295,0.00089789,0.49355,3.8831
0.0084944,0.001266,0.47382,1.003
0.0042056,0.00012609,0.50197,5.9417
0.0078982,0.00047516,0.28294,3.1758
0.012043,0.0040943,0.6008,2.4666
0.0093123,0.0041307,0.44843,0.30381
0.0094364,0.0010629,0.82401,4.1531
0.0034385,3.83E-06,0.59702,2.8718
0.0016139,3.80E-06,0.48871,0.00471
0.013979,0.00093647,0.53223,3.5373
0.014734,3.80E-06,0.63588,0.00471
0.012,0.0016103,0.10836,0.62679
0.0091669,0.00052587,0.58484,1.2919
0.012372,3.80E-06,0.66499,0.0049006
0.0090982,0.00031378,0.52067,0.0047423
0.0081627,0.0019889,0.22206,2.673
0.0052903,3.80E-06,0.85071,5.032
0.0072051,0.0026396,2.4016,0.0047101
0.0086703,0.0025798,0.83687,1.4107
0.0083229,0.00085277,0.55901,0.12062
0.011827,0.0026787,0.24586,0.20307
0.0085026,0.0015855,0.42445,1.436
0.0089752,0.0014651,0.28805,4.7577
0.030665,0.0011042,1.4831,11.337
0.0068681,0.0006089,0.4971,5.4306
0.012574,0.00032365,0.85143,1.2603
0.0087484,4.18E-06,0.70411,13.378
0.0082539,0.0023744,0.99822,0.00471
0.0054117,3.80E-06,0.68318,9.1466
0.0042191,0.00082329,0.20273,7.8516
0.018194,0.0014272,0.33057,6.8722
0.0081463,0.00024641,2.7602,0.00471
0.0050418,3.80E-06,0.94815,13.87
0.007646,5.17E-06,0.41067,1.3414
0.013005,0.0019469,1.1517,0.80105
0.0055345,3.80E-06,1.2457,0.00471
0.003543,3.80E-06,0.60629,30.686
0.0097086,3.80E-06,0.94284,32.005
0.011788,0.0025652,0.74168,0.3212
0.0083502,0.0021869,0.32001,3.254
0.007265,0.00020275,1.219,0.0047103
0.004579,0.00098679,0.54783,1.0762
0.0035825,0.00035045,2.0377,5.329
0.020802,0.00054985,1.4927,10.514
0.011539,0.002167,1.5897,11.609
0.0087436,0.0025233,0.21496,1.2378
0.0074182,0.0017614,0.24572,0.88286
0.0035792,0.0017865,0.48388,2.7229
0.011017,0.0012708,0.69894,4.931
0.013887,0.0010882,0.27488,3.8356
0.010604,0.0037628,0.27607,1.5567
0.016208,0.0012654,0.60637,2.9742
0.0062318,0.00057318,0.16942,5.5232
0.013399,0.0016686,0.53325,7.1301
0.011017,0.00076978,1.5143,2.7602
0.01056,0.0030894,0.77452,0.00471
0.0083409,3.80E-06,0.88833,7.7266
0.0051643,0.00080119,2.9421,0.00471
0.0079903,0.0023466,0.52514,0.90398
0.0067003,0.0019519,0.27852,4.0803
0.0083151,0.00040762,0.6059,0.0047122
0.013563,3.80E-06,0.8078,0.00471
0.024348,0.0035362,0.37694,1.3942
0.011763,0.0076631,0.030816,0.00471
0.0099599,0.0026351,0.26911,1.8525
0.014791,0.0066148,0.15303,0.24747
0.0059321,0.0047592,0.59105,0.0047102
0.012931,0.00093339,5.0292,2.1434
0.010108,0.0041036,0.19689,2.3192
0.017539,0.0037842,0.37654,6.3874
0.0095447,0.002608,0.81368,0.62023
0.0082887,0.0057778,0.92823,0.068044
0.010967,0.0030777,0.69143,3.0852
0.016883,0.0045836,1.0876,5.0789
0.011375,0.0042674,0.22574,0.22479
0.0092039,0.0058415,0.723,9.2489
0.017151,0.00084269,1.028,8.2746
0.015284,0.0062816,0.11818,1.7793
0.012524,0.0017318,0.39146,1.2601
0.012235,0.0047597,0.54779,4.0105
0.010618,0.0048994,0.40082,2.0171
0.00089603,0.001029,582,4710
0.014497,0.0027869,0.32272,3.9573
0.02347,0.001184,1.6404,4.0366
0.022742,0.0029532,0.13251,2.2184
0.012855,0.0025263,0.61295,0.86461
0.017893,0.0069075,0.081087,0.91513
0.01197,0.0014555,0.30904,2.1428
0.010448,0.0045325,0.52746,0.0047234
0.020427,0.0004758,1.3378,7.1408
0.016939,0.0025418,2.1639,10.127
0.016796,0.0034757,0.91422,1.3253
0.014401,0.0022449,0.466,1.8324
0.013086,0.0035154,0.32413,9.7252
0.0071349,0.00099148,0.70499,5.6915
0.03207,0.0028692,0.33037,7.0687
0.011717,0.0017374,0.52297,3.458
0.0085013,0.00024095,0.541,24.888
0.0083373,0.0044619,0.13345,0.74487
0.013148,0.0012349,1.0152,0.58392
0.0031262,3.80E-06,0.60824,0.0047151
0.013782,0.0020161,0.81831,2.333
0.013543,0.0063032,0.50408,6.2398
0.021424,0.0052519,0.27795,2.6712
0.0084723,0.00058356,0.32655,0.23351
0.0078875,0.0019649,0.31459,1.0668
0.023342,0.0045965,0.14246,1.0835
0.019216,0.0076229,0.33414,1.0936
0.016805,0.011104,0.20551,0.39838
0.017284,0.0045626,0.20172,0.80762
0.015659,0.0014073,0.30802,2.6965
0.0099978,0.0015717,0.38889,0.12126
0.024223,0.0039637,0.43028,3.8961
0.012117,0.0014731,0.7619,1.8903
0.019561,0.004097,0.57724,14.887
0.020871,0.0079325,1.223,2.1077
0.015305,0.0039903,0.7368,9.6281
0.015173,0.0055057,0.44989,0.56159
0.018873,0.0029347,1.5031,2.42
0.01755,0.0050551,1.1995,3.557
0.01339,0.00095354,0.5371,0.00471
0.017113,0.010018,0.25477,1.3138
0.013134,0.0022039,1.0193,13.647
0.015648,0.0020597,0.6972,3.3997
0.013615,0.0029007,0.15125,1.3755
0.014693,0.0034531,0.29406,1.5168
0.010988,0.0013137,0.85065,10.333
0.014944,0.0010137,1.0247,4.1532
0.011989,0.00068166,0.99686,6.4779
0.0064066,0.0032951,0.43689,0.93809
0.016822,0.0025141,0.64127,2.4611
0.013201,0.0017353,0.78723,1.5099
0.014716,0.001348,0.37253,4.8096
0.015602,0.0021559,0.43079,4.644
0.016883,0.0060747,0.71437,14.227
0.010161,0.00057966,1.9085,0.00471
0.0088004,0.0010087,0.32739,2.9186
0.010356,0.003483,0.26867,3.1987
0.0092595,0.0013158,0.45556,2.1678
0.014557,0.0024805,0.45125,2.5223
0.0092783,0.0012774,0.35945,4.2325
0.010885,0.0033851,0.62448,3.8048
0.007341,0.0045127,0.3702,2.7013
0.0141,0.0068037,0.20717,3.5464
0.011372,0.00033842,1.2099,4.2761
0.0087093,0.0014419,0.93908,0.0047158
0.020262,0.0019971,1.366,15.678
0.0065017,0.00094558,0.40236,3.3934
0.012016,0.0078617,0.20073,0.0047561
0.023462,0.0029377,0.56107,4.8228
0.010764,0.0035873,0.36704,2.0063
0.01151,0.0028716,0.52156,0.52682
0.016697,0.0067462,0.71714,1.167
0.011896,0.0044615,0.18008,8.9142
0.0088529,0.0027197,0.27927,1.5265
0.010202,0.0016891,0.3148,1.8942
0.014264,0.0026569,0.41579,0.47408
